"[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231,20120101-20121231,20110101-20111231,20100101-20101231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세환급(납부),Income taxes refund (paid),현금흐름표 [개요],영업활동현금흐름,법인세환급(납부),,-49469862056.0,-53275248778.0,-40323148205.0,-20040586213.0,-30317753473.0,-25829771885.0,-26082743480.0,-22661907894.0,-60068535209.0,-24190035935.0,-54180966191.0,-45222247007.0,-45341701996.0,-70592197543.0,-39963178836.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [개요],투자활동현금흐름,,,-412383349596.0,-296167586242.0,-189780419425.0,-265251911086.0,-159956759837.0,-326312112433.0,-231578616365.0,-253720144311.0,-495012283040.0,-569386481829.0,-268044489329.0,-189958232279.0,-164617947358.0,-348881280734.0,-214064076763.0
ifrs-full_PurchaseOfFinancialInstrumentsClassifiedAsInvestingActivities,"금융상품의 취득, 투자활동","Purchase of financial instruments, classified as investing activities",현금흐름표 [개요],투자활동현금흐름,"금융상품의 취득, 투자활동",,-116437986568.0,-93966734597.0,-22831096708.0,-120694426284.0,-34729412529.0,185790696240.0,58119463375.0,50753649866.0,27323728871.0,102648138887.0,144033001530.0,107010518671.0,65663329000.0,297286445914.0,42387627502.0
ifrs-full_ProceedsFromSalesOrMaturityOfFinancialInstrumentsClassifiedAsInvestingActivities,"금융상품의 처분 또는 만기회수, 투자활동","Proceeds from sales or maturity of financial instruments, classified as investing activities",현금흐름표 [개요],투자활동현금흐름,"금융상품의 처분 또는 만기회수, 투자활동",,134609459350.0,72741404387.0,72996343927.0,112568891541.0,55580729820.0,141289915005.0,40000176889.0,44571826483.0,38628077051.0,168680899179.0,163876358480.0,32675667000.0,62213174097.0,266015638106.0,19656405000.0
dart_PurchaseOfOtherFinancialAssets,기타금융자산의 취득,Purchase of other financial assets,현금흐름표 [개요],투자활동현금흐름,기타금융자산의 취득,,-12482982980.0,-11688650345.0,-8165600000.0,-6101165610.0,7212833117.0,1978396910.0,1939915585.0,1454581.0,,985190.0,91070472.0,99707164.0,6962163235.0,,0.0
dart_ProceedsFromSalesOfOtherFinancialAssets,기타금융자산의 처분,Proceeds from sales of other financial assets,현금흐름표 [개요],투자활동현금흐름,기타금융자산의 처분,,16365000000.0,12068945497.0,3743209544.0,7650210898.0,7491174919.0,2589000906.0,11521377.0,25292100.0,22759085.0,149143780.0,7111004435.0,130599072.0,7519512930.0,,0.0
ifrs-full_OtherCashPaymentsToAcquireEquityOrDebtInstrumentsOfOtherEntitiesClassifiedAsInvestingActivities,다른 기업의 지분상품이나 채무상품의 취득에 따른 기타현금유출,Other cash payments to acquire equity or debt instruments of other entities,현금흐름표 [개요],투자활동현금흐름,다른 기업의 지분상품이나 채무상품의 취득에 따른 기타현금유출,,-421212811.0,,-2887984444.0,,-0.0,-1656.0,1536572.0,,,,,,,,
ifrs-full_OtherCashReceiptsFromSalesOfEquityOrDebtInstrumentsOfOtherEntitiesClassifiedAsInvestingActivities,다른 기업의 지분상품이나 채무상품의 처분에 따른 기타현금유입,Other cash receipts from sales of equity or debt instruments of other entities,현금흐름표 [개요],투자활동현금흐름,다른 기업의 지분상품이나 채무상품의 처분에 따른 기타현금유입,,,112857435.0,1807300.0,1802875160.0,350240.0,0.0,0.0,,,,,,,,
ifrs-full_CashFlowsFromLosingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,종속기업과 기타 사업의 지배력 상실에 따른 현금흐름,Cash flows from losing control of subsidiaries or other businesses,현금흐름표 [개요],투자활동현금흐름,종속기업과 기타 사업의 지배력 상실에 따른 현금흐름,,,2182784830.0,,,,,,,,,,,,,
dart_PurchaseOfInvestmentsInSubsidiariesJointVenturesAndAssociates,"종속기업, 조인트벤처와 관계기업에 대한 투자자산의 취득","Purchase of investments in subsidiaries, joint ventures and associates",현금흐름표 [개요],투자활동현금흐름,"종속기업, 조인트벤처와 관계기업에 대한 투자자산의 취득",,-17972326515.0,,-686460000.0,-2000039370.0,-6853215991.0,-34017052360.0,-4499739517.0,,,,,,,,
