"[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
dart_ProceedsFromBonds,사채의 증가,Proceeds from bonds,ifrs-full:StatementOfCashFlowsAbstract,재무활동 현금흐름,재무활동으로 인한 현금유입액,사채의 증가,289472418400.0,132235000000.0,40000000000.0,81740140000.0,79960000000.0,,,19899510000.0,,2000000000.0,
dart_ProceedsFromConvertibleBonds,전환사채의 발행,Proceeds from convertible bonds,ifrs-full:StatementOfCashFlowsAbstract,재무활동 현금흐름,재무활동으로 인한 현금유입액,전환사채의 발행,,439915933203.0,,150000000000.0,,,,1998519260.0,,21670000000.0,4000000000.0
ifrs-full_ProceedsFromGovernmentGrantsClassifiedAsFinancingActivities,정부보조금의 수취,Proceeds from government grants,ifrs-full:StatementOfCashFlowsAbstract,재무활동 현금흐름,재무활동으로 인한 현금유입액,정부보조금의 수취,3782344038.0,446969448.0,2166219017.0,33922355.0,1313627267.0,,,,,,
dart_ProceedsFromExerciseOfConvertibleRightOrWarrant,전환권/신주인수권 행사로 인한 현금유입,Proceeds from exercise of convertible right or warrant,ifrs-full:StatementOfCashFlowsAbstract,재무활동 현금흐름,재무활동으로 인한 현금유입액,전환권/신주인수권 행사로 인한 현금유입,2027264850.0,,,10000000000.0,,,,,,,
dart_CashInflowFromIssuanceOfHybridBond,신종자본증권의 발행,Cash inflow from issuance of hybrid bond,ifrs-full:StatementOfCashFlowsAbstract,재무활동 현금흐름,재무활동으로 인한 현금유입액,신종자본증권의 발행,439411720000.0,,,,,,,,,,
entity00536541_OutflowsOfCashFromFinancingActivitiesOfCashFlowsFromUsedInFinancingActivities,재무활동으로 인한 현금유출액,Outflows of cash from financing activities,ifrs-full:StatementOfCashFlowsAbstract,재무활동 현금흐름,재무활동으로 인한 현금유출액,,-3388026803497.0,-3257409483833.0,-1545491871808.0,,,,,,,,
entity00536541_TransactionCostsOfIssuingCommonStocksOfOutflowsOfCashFromFinancingActivitiesOfCashFlowsFromUsedInFinancingActivities,보통주 발행의 거래원가,Transaction costs of issuing common stocks,ifrs-full:StatementOfCashFlowsAbstract,재무활동 현금흐름,재무활동으로 인한 현금유출액,보통주 발행의 거래원가,-65060848.0,-4501936119.0,-73385018.0,-18697320.0,-13625640.0,,,,,,
entity00536541_TransactionCostsOfIssuingCommonStocksOfOfOutflowsOfCashFromFinancingActivitiesOfCashFlowsFromUsedInFinancingActivities,종속기업의 보통주 발행의 거래원가,Transaction costs of issuing common stocks of subsidiaries,ifrs-full:StatementOfCashFlowsAbstract,재무활동 현금흐름,재무활동으로 인한 현금유출액,종속기업의 보통주 발행의 거래원가,,,-2657439470.0,-281849740.0,,,,,,,
dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,Repayments of short term borrowings,ifrs-full:StatementOfCashFlowsAbstract,재무활동 현금흐름,재무활동으로 인한 현금유출액,단기차입금의 상환,-3242226607198.0,-2765709415516.0,-1420841275790.0,-609397176580.0,450635896423.0,363361421007.0,376184115270.0,117958958441.0,69626977053.0,74865502475.0,29947293605.0
entity00536541_RepaymentOfRevolvingCreditBorrowingsOfOutflowsOfCashFromFinancingActivitiesOfCashFlowsFromUsedInFinancingActivities,유동성장기차입금의 상환,Repayment of revolving credit borrowings,ifrs-full:StatementOfCashFlowsAbstract,재무활동 현금흐름,재무활동으로 인한 현금유출액,유동성장기차입금의 상환,,-114523320000.0,,,,,,,,,
